fips,solar_systems_per_thousand_households
06001,44.29538366848152
06003,0.0
06005,17.450628366247756
06007,30.88445580065168
06009,16.334440753045403
06011,39.04679873672122
06013,88.34356785199898
06015,2.1231422505307855
06017,65.09554899681007
06019,82.87744047518603
06021,58.755396440981364
06023,11.709027830153103
06025,27.404632739171618
06027,10.808093502576348
06029,91.11282248748556
06031,84.27588198488714
06033,14.892749972215018
06035,0.8241475224065108
06037,28.39688648937549
06039,60.19601937023564
06041,39.259187807466
06043,0.8168822328114363
06045,7.378663609371785
06047,62.490346496421765
06049,3.2042723631508676
06051,2.8536485935589075
06053,39.64849045469769
06055,50.43035519456904
06057,12.197204400751348
06059,41.65737853852914
06061,111.61557996692653
06063,0.36509675063891933
06065,78.6505766326484
06067,38.479054566051026
06069,77.4508663798116
06071,55.37948154478493
06073,88.53756819176772
06075,14.806658609006275
06077,61.700894222473785
06079,20.622538039700316
06081,35.67811914012114
06083,33.64094371220561
06085,52.59846523445483
06087,37.130018354043166
06089,11.43063063063063
06091,0.0
06093,3.3450060105576753
06095,71.31019691947749
06097,35.97256393051517
06099,37.47133501974042
06101,47.122223266597736
06103,15.777927775902802
06105,0.18234865061998543
06107,73.99116568091638
06109,13.373695386978719
06111,55.51273314938317
06113,78.26715002013972
06115,33.37443812403039